DateHour,Hour,Date,Month,2011_UV,2012_UV,2013_UV,2014_UV,2015_UV,2016_UV,2017_UV,2018_UV,2019_UV,2020_UV
05-02 18,18,02,05,0.0,0.030000000000000023,0.04000000000000002,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 19,19,02,05,0.0,0.030000000000000023,0.04000000000000002,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 20,20,02,05,0.0,0.030000000000000023,0.04000000000000002,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 21,21,02,05,0.0,0.030000000000000023,0.04000000000000002,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 22,22,02,05,0.0,0.030000000000000023,0.04000000000000002,0.02000000000000001,0.01600000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-02 23,23,02,05,0.0,0.030000000000000023,0.040000000000000015,0.020000000000000007,0.020000000000000007,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004
05-03 00,00,03,05,0.0,0.030000000000000023,0.04000000000000002,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-03 01,01,03,05,0.0,0.030000000000000023,0.03883333333333334,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-03 02,02,03,05,0.0,0.030000000000000023,0.03016666666666669,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-03 03,03,03,05,0.0,0.030000000000000023,0.030000000000000023,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.008166666666666671,0.010000000000000005,0.010000000000000005
05-03 04,04,03,05,0.0,0.030000000000000023,0.03283333333333336,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.007666666666666671,0.010000000000000005,0.010000000000000005
05-03 05,05,03,05,0.0,0.030000000000000023,0.03583333333333334,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.006333333333333336,0.010000000000000005,0.010000000000000005
05-03 06,06,03,05,0.0,0.030000000000000023,0.03066666666666669,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.009333333333333338,0.010000000000000005,0.010000000000000005
05-03 07,07,03,05,0.061333333333333344,0.06500000000000002,0.09333333333333337,0.05566666666666668,0.06150000000000002,0.06583333333333335,0.06933333333333337,0.09233333333333338,0.09200000000000003,0.06750000000000003
05-03 08,08,03,05,0.36116666666666686,0.2395,0.4484999999999999,0.28716666666666674,0.34566666666666657,0.4191666666666667,0.4613333333333333,0.528,0.4908333333333334,0.40633333333333344
05-03 09,09,03,05,0.9304999999999998,0.48566666666666664,1.0861666666666665,0.8181666666666666,1.3086666666666666,1.2433333333333332,1.3278333333333332,1.1086666666666667,1.2478333333333331,0.8518333333333331
05-03 10,10,03,05,1.8603333333333332,0.9226666666666667,1.977,1.3771666666666669,2.042333333333334,1.8390000000000006,2.4573333333333336,1.8203333333333334,2.1813333333333333,1.9873333333333334
05-03 11,11,03,05,2.4596666666666653,1.4774999999999996,3.1136666666666666,0.7491666666666666,2.4798333333333336,2.772666666666667,3.306333333333332,1.2511666666666668,2.261666666666667,2.6480000000000006
05-03 12,12,03,05,3.2296666666666667,1.1364999999999996,2.978999999999999,2.4373333333333345,2.9171666666666654,2.079333333333333,3.750333333333333,1.9205000000000003,2.6478333333333333,2.410166666666667
05-03 13,13,03,05,2.4444999999999997,1.147166666666667,2.2983333333333325,1.4728333333333337,3.0308333333333337,0.9036666666666668,1.9488333333333328,2.5481666666666665,2.389333333333333,1.7870000000000001
05-03 14,14,03,05,1.2206666666666672,0.5261666666666666,1.0313333333333334,0.9251666666666665,1.9561666666666666,0.7870000000000001,0.8713333333333332,0.8889999999999999,1.668333333333333,1.1556666666666673
05-03 15,15,03,05,0.3953333333333334,0.31499999999999984,0.2815000000000001,0.30650000000000005,0.8856666666666666,0.22833333333333344,0.665833333333333,0.41950000000000004,0.827333333333333,0.5493333333333332
05-03 16,16,03,05,0.19983333333333334,0.14633333333333332,0.15933333333333338,0.1361666666666666,0.235,0.11366666666666651,0.1778333333333335,0.09449999999999999,0.23716666666666666,0.19799999999999993
05-03 17,17,03,05,0.009833333333333336,0.03983333333333331,0.03983333333333331,0.02966666666666668,0.03283333333333335,0.014166666666666676,0.015333333333333343,0.018000000000000013,0.03100000000000002,0.02266666666666668
05-03 18,18,03,05,0.0,0.030000000000000023,0.030000000000000023,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.00016666666666666666,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-03 19,19,03,05,0.0,0.030000000000000023,0.030000000000000023,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.008500000000000004,0.010000000000000005,0.010000000000000005,0.010000000000000005
05-03 20,20,03,05,0.0,0.030000000000000023,0.030000000000000023,0.02000000000000001,0.02000000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
